ID,Nombre,Goles,Foto,DefaultFoto
177,Braulio Castro Sánchez,37,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\177.jpg,False
178,Venancio Castro,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\178.jpg,True
179,Galileo Chanes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\179.jpg,False
180,Homero Fernández,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\180.jpg,False
181,Luis Gaitán,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\181.jpg,True
182,Ramón Irigaray,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\182.jpg,True
183,Guido Laino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\183.jpg,True
184,Luis Mainardi,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\184.jpg,False
185,Ernesto Alberto Mascheroni,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\185.jpg,False
186,Luis Alberto Mata,58,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\186.jpg,False
187,Julio Oddo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\187.jpg,True
188,Américo Pazos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\188.jpg,True
189,Julio Pérez Serrés,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\189.jpg,True
190,Nicolás Riccardi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\190.jpg,False
191,Pascual Ruggiero,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\191.jpg,True
192,Victoriano Santos Iriarte,22,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\192.jpg,False
193,Pedro José Young Sosa,85,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\193.jpg,False
194,Erebo Zunino,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\194.jpg,False
195,Basilio Aizcorbe,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\195.jpg,True
196,Enrique Pedro Ballestrero Griffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\196.jpg,False
197,Rogelio Barros,27,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\197.jpg,False
198,Adelaido Camaití,76,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\198.jpg,False
199,Alvaro Cañete,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\199.jpg,True
200,Héctor Cazenave,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\200.jpg,False
201,Jorge Enrique Clulow,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\201.jpg,False
202,Rodolfo Deagustini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\202.jpg,False
203,Silvio Hoffmann,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\203.jpg,False
204,Luiz Mattoso Macedo,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\204.jpg,False
205,Víctor Martínez,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\205.jpg,True
206,Edmundo Mautone,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\206.jpg,True
207,Mario Méndez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\207.jpg,False
208,Salvador Rubilar,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\208.jpg,True
209,José Alberto Taboada,45,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\209.jpg,False
210,Severino Varela Puente,129,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\210.jpg,False
211,Segundo Villadóniga,33,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\211.jpg,False
212,Mario Barrada,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\212.jpg,False
213,Pedro Lago,52,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\213.jpg,False
214,Carlos Scandroglio,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\214.jpg,False
215,Dalmiro Farías,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\215.jpg,True
216,Juan Giménez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\216.jpg,True
217,Anselmo Lustemberg,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\217.jpg,True
219,Carlos Spósito,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\219.jpg,True
220,Juan Pedro Sténeri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\220.jpg,True
221,Francisco Villegas,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\221.jpg,False
222,Julio Nicolás Barrios Cabrera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\222.jpg,False
223,Miguel Ángel Lauri,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\223.jpg,False
225,Raúl Rodríguez,10,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\225.jpg,False
226,Horacio Tellechea,27,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\226.jpg,True
227,Luis Pedro Alberti,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\227.jpg,True
228,Juan Luis Bottyan,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\228.jpg,False
229,Ubaldo Cruche,24,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\229.jpg,False
230,Feliciano Freire,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\230.jpg,False
231,Plinio Garibaldi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\231.jpg,False
232,Sebastián Guzmán,20,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\232.jpg,False
233,Héctor Mario Magliano,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\233.jpg,False
234,Francisco Palermo,13,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\234.jpg,True
235,Darío Oscar Piñero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\235.jpg,False
236,Agustín Prado,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\236.jpg,False
237,César Rivero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\237.jpg,True
238,Adolfo Rodríguez Barreto,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\238.jpg,False
239,Roberto Gregorio Scarone,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\239.jpg,False
240,Aníbal Traverso,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\240.jpg,True
241,Joaquín Bermúdez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\241.jpg,False
242,Leonardo Jesús Cilaurrén Uriarte,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\242.jpg,False
243,Ricardo Charlón,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\243.jpg,False
244,Domingo Gelpi,73,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\244.jpg,False
245,Aurelio Gonnard,24,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\245.jpg,True
246,Agenor Muñiz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\246.jpg,False
247,Antonio Ángel Núñez,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\247.jpg,True
248,José María Ortíz,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\248.jpg,False
249,Lorenzo Pino,54,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\249.jpg,False
250,José Antonio Vázquez,100,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\250.jpg,False
251,Raúl Florio Ameal,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\251.jpg,False
252,Óscar Chirimini Rubilar,51,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\252.jpg,False
253,Julián Gutiérrez,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\253.jpg,True
254,Ángel Ricardo Laferrara,25,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\254.jpg,False
255,Rodolfo Domingo Lazarte,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\255.jpg,False
256,José María Ortiz,31,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\256.jpg,True
257,Juan Tejera,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\257.jpg,True
258,Luis Alberto Vecino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\258.jpg,True
259,Pedro Washington Vigorito,10,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\259.jpg,False
260,Elmo Bovio,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\260.jpg,False
261,Leofar Cámera,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\261.jpg,False
262,Homero Canti,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\262.jpg,True
263,José Pedro Colturi,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\263.jpg,False
264,Washington Díaz,18,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\264.jpg,True
265,Sergio Dumpiérrez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\265.jpg,False
