ID,Nombre,Goles
673,Juan Ramón Silva,27
674,Lorenzo Unánue,61
675,Orlando Virgili,1
676,Agustín Dávila,0
677,Juan Manuel Acosta Díaz,0
678,Robert Arzola,10
679,Jorge Barboza,8
680,José Pedro Custodio,9
681,Jorge Daniel Fossati,0
682,Norberto José Galilea,20
683,Voltaire García,2
684,Luis Garisto,1
685,Carlos Eduardo Peruena,2
686,Alberto Raúl Santelli,26
687,Mario Sergio Zoryez,4
688,José Eduardo Cruz,13
689,Laddy Nitder Pizzani,46
690,Agapito Rivero,2
691,Carlos Yaguno,2
692,Gustavo Faral,1
693,Uruguay Píriz,0
694,Rúben Umpiérrez,5
695,Eduardo Del Capellán,3
696,Víctor Hugo Diogo,16
697,Juan José Duarte,0
698,Ildo Enrique Maneiro,35
699,Juan Vicente Morales,8
700,Rúben Walter Paz,76
701,Venancio Ariel Ramos,95
702,Fernando Harry Álvez Mosqueras,0
703,Alberto Daniel Brailowsky Poliak,1
704,Juan Ignacio De Jesús,8
705,Gustavo Dittman,4
706,Wilson Kénez,0
707,Miguel Leone,0
708,Manuel Enrique Anzorena Ribeiro,4
709,Julio Franco,2
710,Nelson Luis Marcenaro,4
711,Ricardo Pagola,0
712,Mario Daniel Saralegui,23
713,Rodolfo Olegario Abalde Eychenique,24
714,Luis Enrique Alliette,0
715,Walter Álvarez,0
716,Miguel Ángel Bossio Bastianini,7
717,Domingo Rufino Cáceres Olivera,1
718,Heber Omar González,3
719,Hugo Miñan,0
720,José Alberto Moreno,1
721,Enrique Washington Olivera Castro,10
722,Eduardo Pérez,0
723,Oscar Quinteros,0
724,Ernesto Vargas,50
725,Alfredo Carlos Arias Sánchez,22
726,Jacinto Fernando Baptista,3
727,Edison González,5
728,Jorge Lasalvia,1
729,Juan Francisco Muhlethaler,2
730,Eduardo Pierri,3
731,Daniel Cáceres,2
732,Dámaso Antonio Clavijo,1
733,Goodenough Wallace Nkomo,0
734,Roland William Marcenaro,3
735,Mboneni Abednigo Ngcobo,0
736,Saúl Lorenzo Rivero,3
737,John Nketia Yawson,9
738,Miguel Falero,4
