ID,Nombre,Goles,Foto
201,Jorge Enrique Clulow,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\201.jpg
202,Rodolfo Deagustini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\202.jpg
203,Silvio Hoffmann,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\203.jpg
204,Luiz Mattoso Macedo,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\204.jpg
205,Víctor Martínez,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\205.jpg
206,Edmundo Mautone,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\206.jpg
207,Mario Méndez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\207.jpg
208,Salvador Rubilar,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\208.jpg
209,José Alberto Taboada,45,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\209.jpg
210,Severino Varela Puente,129,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\210.jpg
211,Segundo Villadóniga,33,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\211.jpg
212,Mario Barrada,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\212.jpg
213,Pedro Lago,52,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\213.jpg
214,Carlos Scandroglio,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\214.jpg
215,Dalmiro Farías,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\215.jpg
216,Juan Giménez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\216.jpg
217,Anselmo Lustemberg,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\217.jpg
219,Carlos Spósito,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\219.jpg
220,Juan Pedro Sténeri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\220.jpg
221,Francisco Villegas,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\221.jpg
222,Julio Nicolás Barrios Cabrera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\222.jpg
223,Miguel Ángel Lauri,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\223.jpg
225,Raúl Rodríguez,10,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\225.jpg
226,Horacio Tellechea,27,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\226.jpg
227,Luis Pedro Alberti,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\227.jpg
228,Juan Luis Bottyan,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\228.jpg
229,Ubaldo Cruche,24,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\229.jpg
230,Feliciano Freire,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\230.jpg
231,Plinio Garibaldi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\231.jpg
232,Sebastián Guzmán,20,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\232.jpg
233,Héctor Mario Magliano,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\233.jpg
234,Francisco Palermo,13,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\234.jpg
235,Darío Oscar Piñero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\235.jpg
236,Agustín Prado,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\236.jpg
237,César Rivero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\237.jpg
